card,Images:suit,Images:facecard
A,spades.png,
2,spades.png,
3,spades.png,
4,spades.png,
5,spades.png,
6,spades.png,
7,spades.png,
8,spades.png,
9,spades.png,
10,spades.png,
J,spades.png,jack_of_spades.png
Q,spades.png,queen_of_spades.png
K,spades.png,king_of_spades.png
A,hearts.png,
2,hearts.png,
3,hearts.png,
4,hearts.png,
5,hearts.png,
6,hearts.png,
7,hearts.png,
8,hearts.png,
9,hearts.png,
10,hearts.png,
J,hearts.png,jack_of_hearts.png
Q,hearts.png,queen_of_hearts.png
K,hearts.png,king_of_hearts.png
A,diamonds.png,
2,diamonds.png,
3,diamonds.png,
4,diamonds.png,
5,diamonds.png,
6,diamonds.png,
7,diamonds.png,
8,diamonds.png,
9,diamonds.png,
10,diamonds.png,
J,diamonds.png,jack_of_diamonds.png
Q,diamonds.png,queen_of_diamonds.png
K,diamonds.png,king_of_diamonds.png
A,clubs.png,
2,clubs.png,
3,clubs.png,
4,clubs.png,
5,clubs.png,
6,clubs.png,
7,clubs.png,
8,clubs.png,
9,clubs.png,
10,clubs.png,
J,clubs.png,jack_of_clubs.png
Q,clubs.png,queen_of_clubs.png
K,clubs.png,king_of_clubs.png
